State_name,District_name,Other_Education,Other_Workers,Graduate_Education,Households_with_Telephone_Mobile_Phone,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Housholds_with_Electric_Lighting,Secondary_Education,Female_Literate,Urban_Households,Having_bathing_facility_Total_Households,Higher_Education,Literate,Households_with_Computer,Households_with_Telephone_Mobile_Phone_Both,Households_with_separate_kitchen_Cooking_inside_house,LPG_or_PNG_Households,Location_of_drinking_water_source_Within_the_premises_Households,Households,Age_Group_30_49,Household_size_3_to_5_persons_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Literate_Education,Male_Literate,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone_Mobile_only,Household_size_4_persons_Households,Age_Group_50,Main_Workers,Households_with_Radio_Transistor,Household_size_5_persons_Households,Married_couples_1_Households,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_None_Households,Male_Workers,Household_size_3_persons_Households,Workers,Female,Population,Male,Household_size_2_persons_Households,Main_source_of_drinking_water_Tapwater_Households,Households_with_Internet,Household_size_1_to_2_persons,Middle_Education,Total_Education,Non_Workers,Ownership_Rented_Households,Household_size_1_person_Households,Ownership_Owned_Households,Power_Parity_Rs_45000_150000,Hindus,Age_Group_0_29,Married_couples_2_Households,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Primary_Education,Female_Workers,Total_Power_Parity,Religion_Not_Stated,Household_size_6_8_persons_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_150000_240000,Jains,Households_with_Bicycle,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_425000_545000,Female_SC,Main_source_of_drinking_water_Tubewell_Borehole_Households,SC,Power_Parity_Rs_330000_545000,Male_SC,Muslims,Power_Parity_Rs_330000_425000,Below_Primary_Education,Married_couples_3_Households,Household_Workers,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Main_source_of_drinking_water_Other_sources_Households,Type_of_latrine_facility_Pit_latrine_Households,Illiterate_Education,Crime,Crime4
ANDAMAN AND NICOBAR ISLANDS,Andaman,3886,113459,27521,71431,59135,57395,71120,54857,119969,51725,62685,39952,268949,7964,7822,73436,37895,51113,125717,107073,53812,2561,277159,148980,6233,61048,24150,50592,116259,21022,14248,61242,21085,5021,14012,108175,15414,135410,161595,343739,182144,9139,71477,3177,14960,64034,335870,208329,28841,5821,46063,4915,255615,185752,6788,2859,2056,54482,27235,8933,631,12030,1243,502,1363,861,31,12762,22925,617,0,478,0,952,0,31077,335,32427,1182,1167,460,149,660,2614,58711,771,Low
ANDAMAN AND NICOBAR ISLANDS,Nicobars,364,14001,1300,6669,4830,8055,9301,6325,9935,0,8462,3668,25332,230,151,7754,3644,5502,15958,12088,5779,280,27746,15397,193,6238,2326,5922,9651,3382,1499,6815,1991,78,2605,12714,1954,17125,16115,36842,20727,1442,7898,57,2402,7699,37527,19717,1282,960,7464,1895,8681,18786,480,1210,685,5984,4411,3151,38,1443,636,134,346,212,0,4304,2273,120,0,4,0,190,0,1336,70,2406,47,2560,84,2,1133,65,9781,22,Low
ANDHRA PRADESH,Adilabad,19277,390357,100226,403530,306433,191052,566108,225957,626997,220248,378259,143143,1483347,45202,13417,510399,194954,229686,817714,704551,417387,15483,1346992,856350,8338,374630,182282,422522,1066460,25190,132039,503266,96998,9483,82830,748939,103066,1323667,1371642,2741239,1369597,80780,270862,5512,107798,281752,2377632,1417572,77594,27018,559211,2870,2399901,1536378,58377,1604,1266,344167,574728,4181,22120,114585,648,122,206,84,617,150289,212025,213,245752,79354,488596,347,242844,275970,134,232470,6455,84661,109,4078,7390,20150,1030640,5121,Low
ANDHRA PRADESH,Anantapur,23341,638033,144915,581087,559461,353948,897970,331793,972486,341431,755971,162175,2310960,48299,22640,713663,223016,225275,1244428,1104565,644263,24039,2426929,1338474,9915,534408,291388,739612,1679655,63528,196768,718794,144214,14470,109372,1208544,156107,2036166,2016653,4081148,2064495,106460,819675,8606,143093,582075,3795998,2044982,172680,36633,779195,3857,3599372,2189396,115052,2252,1605,720357,827622,5799,14858,153243,969,150,293,143,1417,206433,528245,261,290756,43685,583135,437,292379,443456,176,462273,15584,105343,243,19296,16086,96437,1369069,5727,Medium
ANDHRA PRADESH,Chittoor,36017,693451,246409,632803,611465,382377,944555,548336,1183084,395900,754648,265199,2667878,67087,36237,777100,324406,342011,1303870,1159053,678054,35378,3062955,1484794,16296,561188,311451,807430,1669852,93489,190750,757090,186568,24934,147264,1202223,175853,1933357,2083860,4174064,2090204,132169,835606,13763,187320,673197,4233948,2240707,196720,55151,815953,3835,3737588,2148179,105579,2270,1565,770836,731134,5926,11677,142837,1021,125,386,261,1322,225856,539408,218,396178,92651,785760,375,389582,397870,157,522961,10901,57269,307,10381,38931,32299,1170993,8172,Medium
ANDHRA PRADESH,East Godavari,49017,766374,266859,740323,828814,811063,1310132,529606,1590999,421881,881363,275910,3327851,94381,53311,880552,490313,624349,1621360,1494189,962313,65701,3559479,1736852,25607,621311,473555,956524,1763490,113621,211139,1096484,234644,34873,230445,1559878,277619,2110441,2612933,5209922,2596989,240718,922107,22618,336885,806303,5099005,3099481,284199,96167,1095770,9123,5036867,2756301,86716,4858,4265,958560,550563,17238,9674,113955,1784,1002,2561,1559,4153,785575,560797,1264,480713,40398,953696,2035,472983,78968,771,673224,6535,57999,1736,2073,11219,50246,1539526,9252,Medium
ANDHRA PRADESH,Guntur,30279,803891,221924,733133,816849,762845,1186028,453446,1325715,513113,904201,246580,2960441,80434,53583,917356,648568,554667,1582990,1371811,842985,62229,3209266,1634726,17424,617321,413160,928462,2106326,106907,200288,972992,190079,28457,185688,1442370,229537,2381624,2447292,4887813,2440521,212589,739450,19383,295615,674957,4683615,2506189,276073,83026,981115,4610,4217597,2583462,117838,2657,1953,845810,939254,6981,15982,139120,1119,188,384,196,3282,454586,465404,328,481074,73453,957407,550,476333,559770,222,736270,10388,47436,317,2660,35872,58852,1474349,10959,Medium
ANDHRA PRADESH,Hyderabad,45937,1315803,558090,799174,746818,868186,869721,811501,1349467,1066289,873099,517425,2892155,274653,123728,868553,581509,814362,1066289,1068243,546260,91702,3445721,1542688,124106,583744,236179,542669,1096081,288188,174472,692697,439890,200317,94747,1045585,135609,1413297,1924748,3943323,2018575,90415,862054,149034,110910,685215,4002623,2530026,422826,20495,437146,5212,2046051,2249130,73154,2008,3204,596591,367712,11071,62142,181806,416,494,2202,1708,19560,229561,47880,860,123614,6139,247927,1531,124313,1713405,671,230962,16242,46157,1710,6238,6777,9725,556902,33875,VHigh
ANDHRA PRADESH,Karimnagar,35312,591179,256633,691495,589283,452865,926768,463403,949591,288044,675283,293493,2206829,46584,17534,642642,344667,633350,1165280,1031735,649211,25539,2325560,1257238,14175,648422,306232,728494,1590304,37212,176730,746836,192965,16190,133465,1049463,166249,1876768,1895469,3776269,1880800,146503,681510,8831,201672,482842,3605953,1899501,141432,55169,823820,3583,3491139,1940234,91081,2163,1420,453505,827305,5251,12583,120450,961,99,227,128,312,406211,197387,173,357276,65437,709757,292,352481,244723,119,340372,8368,168340,186,15034,23433,100604,1280393,8973,Medium
ANDHRA PRADESH,Khammam,25456,360754,160804,427722,416734,360531,668519,238811,728594,201363,403739,154774,1630234,42171,18744,435972,219710,354579,870625,774583,512966,19525,1551232,901640,11887,389453,254089,477955,1215871,35761,114041,575647,115078,15140,112134,802906,144836,1410062,1406382,2797370,1390988,120442,468045,8628,159883,329630,2426504,1387308,115379,39441,616617,2596,2595321,1530602,55189,1584,1012,346118,607156,3836,7829,69643,732,78,153,75,459,267852,240615,136,232991,61127,462896,228,229905,158887,92,295639,4220,19799,127,1518,9819,37554,875272,5961,Medium
